Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:31:01.589-0800,3765,1715,1914,1995,2153,4094
2026-01-27 19:31:01.605-0800,2869,1716,1912,1989,2185,4092
2026-01-27 19:31:01.605-0800,3674,1716,1911,1988,2219,4095
2026-01-27 19:31:01.622-0800,3300,1714,1915,1988,2237,4095
2026-01-27 19:31:01.637-0800,2872,1716,1911,1988,2265,4095
2026-01-27 19:31:01.653-0800,3311,1716,1911,1989,2295,4095
2026-01-27 19:31:01.653-0800,3311,1716,1911,1989,2315,4095
2026-01-27 19:31:01.668-0800,2892,1715,1912,1989,2329,4083
2026-01-27 19:31:01.686-0800,3305,1716,1912,1990,2348,4095
2026-01-27 19:31:01.702-0800,2868,1716,1911,1988,2361,4095
2026-01-27 19:31:01.702-0800,3617,1715,1912,1989,2371,4095
2026-01-27 19:31:01.718-0800,3312,1717,1911,1988,2374,4095
2026-01-27 19:31:01.733-0800,2869,1716,1912,1989,2375,4095
2026-01-27 19:31:01.749-0800,3723,1715,1913,1988,2377,4095
2026-01-27 19:31:01.750-0800,2868,1716,1911,1989,2379,4095
2026-01-27 19:31:01.766-0800,3308,1716,1911,1990,2384,4095
2026-01-27 19:31:01.779-0800,3317,1715,1912,1989,2385,4095
2026-01-27 19:31:01.797-0800,2871,1716,1911,1988,2387,4095
2026-01-27 19:31:01.797-0800,3725,1715,1911,1988,2384,4095
2026-01-27 19:31:01.814-0800,3320,1717,1912,1989,2383,4095
2026-01-27 19:31:01.829-0800,2868,1717,1913,1989,2378,4083
2026-01-27 19:31:01.844-0800,3737,1716,1915,1989,2367,4095
2026-01-27 19:31:01.846-0800,2871,1718,1914,1989,2359,4095
2026-01-27 19:31:01.859-0800,3701,1717,1914,1988,2344,4089
2026-01-27 19:31:01.877-0800,3306,1718,1916,1989,2326,4093
2026-01-27 19:31:01.893-0800,2869,1717,1917,1988,2317,4095
2026-01-27 19:31:01.893-0800,3299,1718,1917,1989,2317,4094
2026-01-27 19:31:01.909-0800,3314,1718,1917,1988,2309,4095
2026-01-27 19:31:01.924-0800,2895,1718,1918,1989,2294,4086
2026-01-27 19:31:01.942-0800,3310,1718,1917,1988,2268,4095
2026-01-27 19:31:01.942-0800,2869,1720,1919,1988,2247,4095
2026-01-27 19:31:01.957-0800,3633,1719,1920,1989,2227,4095
2026-01-27 19:31:01.971-0800,3297,1718,1921,1988,2201,4095
2026-01-27 19:31:01.986-0800,2870,1720,1920,1989,2166,4095
2026-01-27 19:31:01.986-0800,3739,1718,1922,1989,2122,4095
2026-01-27 19:31:02.005-0800,2870,1720,1923,1990,2071,4086
2026-01-27 19:31:02.017-0800,3294,1718,1921,1990,2022,4081
2026-01-27 19:31:02.037-0800,3293,1719,1922,1989,1982,4094
2026-01-27 19:31:02.037-0800,2868,1718,1922,1989,1960,4095
2026-01-27 19:31:02.053-0800,3721,1719,1921,1988,1953,4095
2026-01-27 19:31:02.068-0800,3275,1719,1922,1989,1953,4095
2026-01-27 19:31:02.085-0800,2869,1718,1921,1988,1951,4095
2026-01-27 19:31:02.085-0800,3739,1717,1923,1988,1947,4095
2026-01-27 19:31:02.100-0800,2868,1719,1922,1989,1945,4094
2026-01-27 19:31:02.115-0800,3700,1719,1922,1989,1945,4095
2026-01-27 19:31:02.129-0800,3308,1718,1923,1989,1944,4095
2026-01-27 19:31:02.129-0800,2869,1719,1923,1988,1941,4095
2026-01-27 19:31:02.149-0800,3307,1718,1923,1988,1938,4088
2026-01-27 19:31:02.164-0800,3300,1719,1922,1990,1943,4095
2026-01-27 19:31:02.181-0800,2892,1718,1922,1990,1944,4095
2026-01-27 19:31:02.181-0800,3292,1720,1923,1989,1940,4095
2026-01-27 19:31:02.197-0800,2868,1719,1922,1989,1941,4095
2026-01-27 19:31:02.213-0800,3601,1718,1922,1988,1944,4095
2026-01-27 19:31:02.229-0800,3333,1718,1921,1989,1942,4095
2026-01-27 19:31:02.230-0800,2871,1719,1922,1988,1943,4095
2026-01-27 19:31:02.245-0800,3719,1717,1923,1989,1943,4084
2026-01-27 19:31:02.261-0800,2868,1720,1923,1990,1945,4095
2026-01-27 19:31:02.277-0800,3323,1720,1921,1989,1946,4095
2026-01-27 19:31:02.278-0800,3289,1718,1922,1989,1943,4095
2026-01-27 19:31:02.293-0800,2867,1717,1922,1990,1945,4095
2026-01-27 19:31:02.304-0800,3705,1719,1921,1989,1943,4095
2026-01-27 19:31:02.325-0800,3300,1720,1923,1989,1943,4095
2026-01-27 19:31:02.325-0800,2866,1723,1926,1993,1951,4095
2026-01-27 19:31:02.340-0800,3735,1724,1927,1996,1948,4095
2026-01-27 19:31:02.357-0800,2868,1723,1926,1994,1947,4095
2026-01-27 19:31:02.374-0800,3714,1723,1926,1993,1949,4095
2026-01-27 19:31:02.374-0800,3326,1724,1924,1993,1949,4095
2026-01-27 19:31:02.390-0800,2870,1724,1929,1992,1947,4095
2026-01-27 19:31:02.405-0800,3317,1723,1927,1993,1949,4095
2026-01-27 19:31:02.421-0800,3322,1722,1927,1993,1947,4095
2026-01-27 19:31:02.421-0800,2903,1723,1926,1993,1947,4086
2026-01-27 19:31:02.436-0800,3322,1723,1928,1993,1946,4095
2026-01-27 19:31:02.451-0800,2872,1724,1926,1993,1947,4095
2026-01-27 19:31:02.467-0800,3649,1723,1927,1993,1948,4095
2026-01-27 19:31:02.467-0800,3326,1724,1926,1994,1946,4090
2026-01-27 19:31:02.485-0800,2872,1725,1928,1993,1946,4095
2026-01-27 19:31:02.500-0800,3779,1723,1927,1994,1945,4095
2026-01-27 19:31:02.515-0800,2868,1724,1927,1993,1941,4095
2026-01-27 19:31:02.515-0800,3326,1722,1926,1992,1940,4095
2026-01-27 19:31:02.531-0800,3316,1724,1926,1993,1936,4095
2026-01-27 19:31:02.548-0800,2870,1723,1927,1994,1936,4095
2026-01-27 19:31:02.562-0800,3744,1723,1926,1992,1934,4095
2026-01-27 19:31:02.562-0800,3298,1724,1926,1993,1933,4095
2026-01-27 19:31:02.578-0800,2870,1726,1926,1993,1932,4095
2026-01-27 19:31:02.593-0800,3769,1724,1927,1993,1928,4095
2026-01-27 19:31:02.613-0800,2871,1724,1926,1994,1925,4095
2026-01-27 19:31:02.613-0800,3720,1725,1926,1991,1925,4095
2026-01-27 19:31:02.628-0800,3322,1724,1926,1992,1921,4095
2026-01-27 19:31:02.644-0800,2872,1725,1926,1993,1919,4095
2026-01-27 19:31:02.660-0800,3323,1725,1927,1993,1919,4095
2026-01-27 19:31:02.660-0800,3316,1725,1919,1993,1920,4095
2026-01-27 19:31:02.676-0800,2902,1725,1926,1992,1920,4095
2026-01-27 19:31:02.693-0800,3313,1726,1926,1994,1919,4095
2026-01-27 19:31:02.709-0800,2872,1725,1926,1993,1920,4095
2026-01-27 19:31:02.709-0800,3624,1725,1925,1993,1921,4095
2026-01-27 19:31:02.724-0800,3323,1725,1926,1993,1920,4095
2026-01-27 19:31:02.740-0800,2873,1725,1926,1993,1920,4095
2026-01-27 19:31:02.757-0800,3733,1725,1926,1993,1919,4095
2026-01-27 19:31:02.757-0800,2870,1726,1928,1994,1919,4095
2026-01-27 19:31:02.771-0800,3323,1726,1927,1994,1918,4095
2026-01-27 19:31:02.790-0800,3312,1725,1926,1993,1917,4095
2026-01-27 19:31:02.804-0800,2872,1725,1926,1994,1917,4095
2026-01-27 19:31:02.804-0800,3773,1727,1926,1994,1915,4095
2026-01-27 19:31:02.821-0800,3315,1725,1927,1993,1916,4095
2026-01-27 19:31:02.833-0800,2869,1725,1925,1993,1918,4095
2026-01-27 19:31:02.854-0800,3717,1725,1927,1994,1918,4095
2026-01-27 19:31:02.854-0800,2873,1726,1926,1994,1919,4095
2026-01-27 19:31:02.869-0800,3721,1725,1926,1993,1919,4095
2026-01-27 19:31:02.885-0800,3319,1725,1927,1996,1917,4095
